GL_FALSE                                   : 0
GL_NONE                                    : 0
GL_NO_ERROR                                : 0
GL_POINTS                                  : 0
GL_ZERO                                    : 0
GL_ARB_imaging                             : 1
GL_ARB_multitexture                        : 1
GL_CLIENT_PIXEL_STORE_BIT                  : 1
GL_CURRENT_BIT                             : 1
GL_LINES                                   : 1
GL_MAP_READ_BIT                            : 1
GL_ONE                                     : 1
GL_TRUE                                    : 1
GL_MAP_FLUSH_EXPLICIT_BIT                  : 10
GL_POLYGON_STIPPLE_BIT                     : 10
GL_ACCUM                                   : 100
GL_DEPTH_BUFFER_BIT                        : 100
GL_TEXTURE_WIDTH                           : 1000
GL_TRANSFORM_BIT                           : 1000
GL_EVAL_BIT                                : 10000
GL_TEXTURE_HEIGHT                          : 1001
GL_TEXTURE_COMPONENTS                      : 1003
GL_TEXTURE_INTERNAL_FORMAT                 : 1003
GL_TEXTURE_BORDER_COLOR                    : 1004
GL_TEXTURE_BORDER                          : 1005
GL_LOAD                                    : 101
GL_RETURN                                  : 102
GL_MULT                                    : 103
GL_ADD                                     : 104
GL_DONT_CARE                               : 1100
GL_FASTEST                                 : 1101
GL_NICEST                                  : 1102
GL_AMBIENT                                 : 1200
GL_DIFFUSE                                 : 1201
GL_SPECULAR                                : 1202
GL_POSITION                                : 1203
GL_SPOT_DIRECTION                          : 1204
GL_SPOT_EXPONENT                           : 1205
GL_SPOT_CUTOFF                             : 1206
GL_CONSTANT_ATTENUATION                    : 1207
GL_LINEAR_ATTENUATION                      : 1208
GL_QUADRATIC_ATTENUATION                   : 1209
GL_COMPILE                                 : 1300
GL_COMPILE_AND_EXECUTE                     : 1301
GL_BYTE                                    : 1400
GL_UNSIGNED_BYTE                           : 1401
GL_SHORT                                   : 1402
GL_UNSIGNED_SHORT                          : 1403
GL_INT                                     : 1404
GL_UNSIGNED_INT                            : 1405
GL_FLOAT                                   : 1406
GL_2_BYTES                                 : 1407
GL_3_BYTES                                 : 1408
GL_4_BYTES                                 : 1409
GL_DOUBLE                                  : 140a
GL_CLEAR                                   : 1500
GL_AND                                     : 1501
GL_AND_REVERSE                             : 1502
GL_COPY                                    : 1503
GL_AND_INVERTED                            : 1504
GL_NOOP                                    : 1505
GL_XOR                                     : 1506
GL_OR                                      : 1507
GL_NOR                                     : 1508
GL_EQUIV                                   : 1509
GL_INVERT                                  : 150a
GL_OR_REVERSE                              : 150b
GL_COPY_INVERTED                           : 150c
GL_OR_INVERTED                             : 150d
GL_NAND                                    : 150e
GL_SET                                     : 150f
GL_EMISSION                                : 1600
GL_SHININESS                               : 1601
GL_AMBIENT_AND_DIFFUSE                     : 1602
GL_COLOR_INDEXES                           : 1603
GL_MODELVIEW                               : 1700
GL_PROJECTION                              : 1701
GL_TEXTURE                                 : 1702
GL_COLOR                                   : 1800
GL_DEPTH                                   : 1801
GL_STENCIL                                 : 1802
GL_COLOR_INDEX                             : 1900
GL_STENCIL_INDEX                           : 1901
GL_DEPTH_COMPONENT                         : 1902
GL_RED                                     : 1903
GL_GREEN                                   : 1904
GL_BLUE                                    : 1905
GL_ALPHA                                   : 1906
GL_RGB                                     : 1907
GL_RGBA                                    : 1908
GL_LUMINANCE                               : 1909
GL_LUMINANCE_ALPHA                         : 190a
GL_BITMAP                                  : 1a00
